Date,Time,COI change in number of barrels (million)
Feb 07, 2024,10:30,5.520
Jan 31, 2024,10:30,1.234
Jan 24, 2024,10:30,-9.233
Jan 18, 2024,11:00,-2.492
Jan 10, 2024,10:30,1.338
Jan 04, 2024,11:00,-5.503
Dec 28, 2023,11:00,-7.114
Dec 20, 2023,10:30,2.909
Dec 13, 2023,10:30,-4.259
Dec 06, 2023,10:30,-4.632
Nov 29, 2023,10:30,1.609
Nov 22, 2023,10:30,8.701
Nov 15, 2023,10:30,3.600
Nov 15, 2023,10:29,13.869
Nov 01, 2023,09:30,0.774
Oct 25, 2023,09:30,1.371
Oct 18, 2023,09:30,-4.491
Oct 12, 2023,10:00,10.176
Oct 04, 2023,09:30,-2.224
Sep 27, 2023,09:30,-2.170
Sep 20, 2023,09:30,-2.135
Sep 13, 2023,09:30,3.954
Sep 07, 2023,10:00,-6.307
Aug 30, 2023,09:30,-10.584
Aug 23, 2023,09:30,-6.135
Aug 16, 2023,09:30,-5.960
Aug 09, 2023,09:30,5.851
Aug 02, 2023,09:30,-17.049
Jul 26, 2023,09:30,-0.600
Jul 19, 2023,09:30,-0.708
Jul 12, 2023,09:30,5.946
Jul 06, 2023,10:00,-1.508
Jun 28, 2023,09:30,-9.603
Jun 22, 2023,10:00,-3.831
Jun 14, 2023,09:30,7.919
Jun 07, 2023,09:30,-0.451
Jun 01, 2023,10:00,4.488
ay 24, 2023,09:30,-12.456
ay 17, 2023,09:30,5.040
ay 10, 2023,09:30,2.951
ay 03, 2023,09:30,-1.280
Apr 26, 2023,09:30,-5.054
Apr 19, 2023,09:30,-4.581
Apr 12, 2023,09:30,0.597
Apr 05, 2023,09:30,-3.739
ar 29, 2023,09:30,-7.489
ar 22, 2023,09:30,1.117
ar 15, 2023,09:30,1.550
ar 08, 2023,10:30,-1.694
ar 01, 2023,10:30,1.165
Feb 23, 2023,11:00,7.648
Feb 15, 2023,10:30,16.283
Feb 08, 2023,10:30,2.423
Feb 01, 2023,10:30,4.140
Jan 25, 2023,10:30,0.533
Jan 19, 2023,11:00,8.408
Jan 11, 2023,10:30,18.962
Jan 05, 2023,11:00,1.694
Dec 29, 2022,11:00,0.718
Dec 21, 2022,10:30,-5.894
Dec 14, 2022,10:30,10.231
Dec 07, 2022,10:30,-5.187
Nov 30, 2022,10:30,-12.580
Nov 23, 2022,10:30,-3.691
